Name                                              Stmts   Miss  Cover
---------------------------------------------------------------------
scripts/__init__.py                                   0      0   100%
scripts/run_shadow_cycle.py                         102     23    77%
sports_predictor/__init__.py                          3      0   100%
sports_predictor/artifacts.py                        38      2    95%
sports_predictor/audit.py                            90     47    48%
sports_predictor/backtest.py                        158     12    92%
sports_predictor/betting.py                         113     14    88%
sports_predictor/cloud_auth.py                       73     16    78%
sports_predictor/cloud_config.py                     75     13    83%
sports_predictor/common.py                          140     22    84%
sports_predictor/data_sources/__init__.py             4      0   100%
sports_predictor/data_sources/football_data.py       78     29    63%
sports_predictor/data_sources/provenance.py          29      9    69%
sports_predictor/data_sources/tennis_archive.py      62     28    55%
sports_predictor/data_sources/the_odds_api.py       227     68    70%
sports_predictor/database.py                        513     62    88%
sports_predictor/demo_data.py                        47      0   100%
sports_predictor/event_matching.py                   97     20    79%
sports_predictor/football.py                        201      8    96%
sports_predictor/fresh_rebuild.py                   130     62    52%
sports_predictor/historical_benchmark.py            105     44    58%
sports_predictor/identity.py                         12      0   100%
sports_predictor/market.py                           16      7    56%
sports_predictor/market_benchmark.py                165     21    87%
sports_predictor/odds_backtest.py                    77      5    94%
sports_predictor/odds_data.py                       137     22    84%
sports_predictor/shadow_mode.py                     137     19    86%
sports_predictor/tennis.py                          264     22    92%
tests/conftest.py                                    10      0   100%
tests/test_audit_hardening.py                        47      0   100%
tests/test_backtest.py                               35      0   100%
tests/test_betting.py                                39      0   100%
tests/test_cloud_v31.py                              83      1    99%
tests/test_deployment_entrypoints.py                 60      0   100%
tests/test_frontend_v321.py                          12      0   100%
tests/test_odds_api.py                              145      3    98%
tests/test_odds_backtest.py                          24      0   100%
tests/test_smoke.py                                  21      0   100%
tests/test_v2_sources.py                             20      0   100%
tests/test_v32_historical_benchmark.py              107      0   100%
tests/test_v33_shadow_mode.py                       165      0   100%
tests/test_v34_fresh_rebuild.py                      51      2    96%
tests/test_webapp.py                                 38      0   100%
webapp.py                                           621    137    78%
---------------------------------------------------------------------
TOTAL                                              4571    718    84%
